Date,Day of the Week,Amount,Description,Financial goals and Savings,Method of Payment,Need/Want/Saving
1/16,Thursday,4.99,oreos,Food,Debit,Want
1/16,Thursday,5.99,Tortillas,Food,Cash,Need
1/16,Thursday,6.72,Choriso,Food,Debit,Want
1/16,Thursday,6.89,Eggs,Food,Debit,Need
1/16,Thursday,5.29,Milk,Food,Debit,Want
1/16,Thursday,3.29,Yogurt,Food,Debit,Want
1/17,Friday,1.25,Water,Food,Cash,Need
1/17,Friday,3.69,Chips,Food,Cash,Want
1/17,Friday,3.99,Candy ,Food,Cash,Want
1/17,Friday,3.99,Venom 2,Entertainment and Recreation,Debit,Want
1/18,Saturday,9.99,Venom 3,Entertainment and Recreation,Debit,Want
1/19,Sunday,3.55,Nerd Clusters,Food,Cash,Want
1/19,Sunday,5.89,In n out,Food,Debit,Want
1/19,Sunday,6.25,Dutch Bro,Food,Cash,Want
1/21,Tuesday,11.45,In N Out,Food,Debit,Want
1/22,Wednesday,1.00,Chocolate  ,Food,Cash,Want
1/24,Friday,1.80,Juice,Food,Cash,Want
1/27,Monday,30.00,Deposit Savings Account ,Financial goals and Savings,Cash,Savings
1/28,Tuesday,10.00,Bagle,Food,Debit,Want
1/28,Tuesday,21.25,Beads,Entertainment and Recreation,Debit,Want
1/28,Tuesday,14.99,Star Bread,Food,Debit,Want
1/29,Wednesday,12.89,In N Out,Food,Debit,Want
1/30,Friday,1.25,water,Food,Cash,Need
2/2,Sunday,1.45,arizona,Food,Debit,Want
2/2,Sunday,50.00,Deposit Savings Account ,Financial goals and Savings,Cash,Savings