1/16,Thursday,4.99,oreos,Food,Debit,Want
1/16,Thursday,5.99,Tortillas,Food,Cash,Need
1/16,Thursday,6.72,Choriso,Food,Debit,Want
1/16,Thursday,6.89,Eggs,Food,Debit,Need
1/16,Thursday,5.29,Milk,Food,Debit,Want
1/16,Thursday,3.29,Yogurt,Food,Debit,Want
1/17,Friday,1.25,Water,Food,Cash,Need
1/17,Friday,3.69,Chips,Food,Cash,Want
1/17,Friday,3.99,Candy ,Food,Cash,Want
1/17,Friday,3.99,Venom 2,Entertainment and Recreation,Debit,Want
1/18,Saturday,9.99,Venom 3,Entertainment and Recreation,Debit,Want
1/19,Sunday,3.55,Nerd Clusters,Food,Cash,Want
1/19,Sunday,5.89,In n out,Food,Debit,Want
1/19,Sunday,6.25,Dutch Bro,Food,Cash,Want